CSI Index: 1
Subcarrier,Amplitude,Phase
24,28.160255,1.464061
25,28.284271,1.428899
26,29.427877,1.400061
27,29.427877,1.400061
28,30.413813,1.405648
29,30.594116,1.373401
30,30.594116,1.373401
31,30.805843,1.341564
32,0.0,0.0
33,30.594116,1.373401
34,29.832869,1.333948
35,29.614185,1.366778
36,27.892651,1.317122
37,27.658634,1.352127
38,25.96151,1.297788
39,25.96151,1.297788
40,24.351591,1.23606
41,25.298222,1.249046
42,23.409399,1.222025
43,23.409399,1.222025
44,22.472204,1.206817
45,21.931713,1.147942
46,21.931713,1.147942
47,21.931713,1.147942
48,22.36068,1.107149
49,21.931713,1.147942
50,22.36068,1.107149
51,21.470911,1.086318
52,21.470911,1.086318
53,22.36068,1.107149
54,21.931713,1.147942
55,21.540659,1.19029
56,21.189621,1.234122
57,21.189621,1.234122
58,19.924858,1.264917
59,20.615528,1.325818
60,20.396078,1.373401
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 17
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.410883,-0.310998
5,29.410883,-0.310998
6,28.86174,-0.244979
7,29.832869,-0.236849
8,30.594116,-0.197396
9,30.594116,-0.197396
10,30.594116,-0.197396
11,31.400637,-0.159913
12,31.400637,-0.159913
13,30.413813,-0.165149
14,30.413813,-0.165149
15,30.594116,-0.197396
16,29.614185,-0.204018
17,28.86174,-0.244979
18,27.892651,-0.253674
19,28.460499,-0.321751
20,28.79236,-0.354706
21,27.856777,-0.367174
22,28.635643,-0.432408
23,29.068884,-0.463648
24,29.15476,-0.54042
25,29.15476,-0.54042
26,29.681644,-0.569313
27,30.0,-0.643501
28,30.610456,-0.669639
29,30.479502,-0.715744
30,31.144823,-0.739975
31,31.144823,-0.739975
32,0.0,0.0
33,30.413813,-0.80865
34,30.479502,-0.855053
35,29.068884,-0.858439
36,29.206163,-0.90675
37,28.017851,-0.962994
38,26.627054,-0.972377
39,26.076809,-1.004067
40,25.059929,-1.07145
41,24.596748,-1.107149
42,24.596748,-1.107149
43,23.769728,-1.182478
44,23.409399,-1.222025
45,23.086792,-1.262744
46,22.803509,-1.304544
47,22.561028,-1.34732
48,21.377558,-1.382575
49,22.203604,-1.435269
50,22.203604,-1.435269
51,22.090721,-1.480136
52,22.090721,-1.480136
53,22.090721,-1.480136
54,22.090721,-1.480136
55,22.090721,-1.480136
56,21.095022,-1.475845
57,21.095022,-1.475845
58,20.099751,-1.471128
59,20.223749,-1.421906
60,21.213203,-1.428899
61,0.0,0.0
62,0.0,0.0
